sample_id,curve_id,run_id,instrument_seq,sample_time_seconds,temperature_celsius,heat_flow_mw,mass_mg
S0001,FIX1,FIX1-R1,1,0,0,10.0000,100.0000
S0002,FIX1,FIX1-R1,2,1,1,10.1000,100.0000
S0003,FIX1,FIX1-R1,3,2,2,10.2000,100.0000
S0004,FIX1,FIX1-R1,4,3,3,10.3000,100.0000
S0005,FIX1,FIX1-R1,5,4,4,10.4000,100.0000
S0006,FIX1,FIX1-R1,6,5,5,10.5000,100.0000
S0007,FIX1,FIX1-R1,7,6,6,10.6000,100.0000
S0008,FIX1,FIX1-R1,8,7,7,10.7000,100.0000
S0009,FIX1,FIX1-R1,9,8,8,10.8000,100.0000
S0010,FIX1,FIX1-R1,10,9,9,10.9000,100.0000
S0011,FIX1,FIX1-R1,11,10,10,11.0000,100.0000
S0012,FIX1,FIX1-R1,12,11,11,11.1000,100.0000
S0013,FIX1,FIX1-R1,13,12,12,11.2000,100.0000
S0014,FIX1,FIX1-R1,14,13,13,11.3000,100.0000
S0015,FIX1,FIX1-R1,15,14,14,11.4000,100.0000
S0016,FIX1,FIX1-R1,16,15,15,11.5000,100.0000
S0017,FIX1,FIX1-R1,17,16,16,11.6000,100.0000
S0018,FIX1,FIX1-R1,18,17,17,11.7000,100.0000
S0019,FIX1,FIX1-R1,19,18,18,11.8000,100.0000
S0020,FIX1,FIX1-R1,20,19,19,11.9000,100.0000
S0021,FIX1,FIX1-R1,21,20,20,12.0000,100.0000
S0022,FIX1,FIX1-R1,22,20,20,12.0800,100.0000
S0023,FIX1,FIX1-R1,23,21,21,12.1000,100.0000
S0024,FIX1,FIX1-R1,24,22,22,12.2000,100.0000
S0025,FIX1,FIX1-R1,25,23,23,12.3000,100.0000
S0026,FIX1,FIX1-R1,26,24,24,12.4000,100.0000
S0027,FIX1,FIX1-R1,27,25,25,12.5000,100.0000
S0028,FIX1,FIX1-R1,28,26,26,12.6000,100.0000
S0029,FIX1,FIX1-R1,29,27,27,12.7000,100.0000
S0030,FIX1,FIX1-R1,30,28,28,12.8000,100.0000
S0031,FIX1,FIX1-R1,31,29,29,12.9000,100.0000
S0032,FIX1,FIX1-R1,32,30,30,13.0000,100.0000
S0033,FIX1,FIX1-R1,33,31,31,13.1000,100.0000
S0034,FIX1,FIX1-R1,34,32,32,13.2000,100.0000
S0035,FIX1,FIX1-R1,35,33,33,13.3000,100.0000
S0036,FIX1,FIX1-R1,36,34,34,13.4000,100.0000
S0037,FIX1,FIX1-R1,37,35,35,13.5000,100.0000
S0038,FIX1,FIX1-R1,38,36,36,13.6000,100.0000
S0039,FIX1,FIX1-R1,39,37,37,13.7000,100.0000
S0040,FIX1,FIX1-R1,40,38,38,13.8000,100.0000
S0041,FIX1,FIX1-R1,41,39,39,13.9000,100.0000
S0042,FIX1,FIX1-R1,42,40,40,14.0000,100.0000
S0043,FIX1,FIX1-R1,43,41,41,14.1000,100.0000
S0044,FIX1,FIX1-R1,44,42,42,14.2000,100.0000
